Sample Id,Date-Time,Site Name,SiteId,Fuel Type,Category,Sub-Category,Method,Sample Avg Value,Sample Status
109517,2012-06-01 05:00:00+00:00,Donnelly Gulch,384,1000-Hour,Dead,,,12.0,Submitted
109521,2012-06-01 05:00:00+00:00,Dolores Rim,383,1000-Hour,Dead,,,4.0,Submitted
109525,2012-06-01 05:00:00+00:00,KNF Franks,660,1000-Hour,Dead,,,11.0,Submitted
109536,2012-06-02 05:00:00+00:00,Clayton SNOTEL,223,1000-Hour,Dead,,,12.0,Submitted
109543,2012-06-02 05:00:00+00:00,D9 Gold Camp,350,1000-Hour,Dead,,,15.0,Submitted
78333,2010-05-03 05:00:00+00:00,Warren Lamb Draw,1306,1000-Hour,Dead,,,30.0,Submitted
109549,2012-06-02 05:00:00+00:00,D9 North Divide,353,1000-Hour,Dead,,,10.0,Submitted
82266,2010-07-08 05:00:00+00:00,Stinking Springs,1182,1000-Hour,Dead,,,6.0,Submitted
109559,2012-06-02 05:00:00+00:00,Buck Flat,143,1000-Hour,Dead,,,5.0,Submitted
82272,2010-07-08 05:00:00+00:00,Bearlodge,71,1000-Hour,Dead,,,35.0,Submitted
109565,2012-06-02 05:00:00+00:00,Buck Flat Low Elev.,144,1000-Hour,Dead,,,4.0,Submitted
109566,2012-06-02 05:00:00+00:00,Turkey Springs,1277,1000-Hour,Dead,,,8.0,Submitted
109576,2012-06-02 05:00:00+00:00,D9 Trout Creek,355,1000-Hour,Dead,,,7.0,Submitted
109584,2012-06-03 05:00:00+00:00,McCall,754,1000-Hour,Dead,,,18.0,Submitted
109597,2012-06-03 05:00:00+00:00,D9 Mt. Herman,352,1000-Hour,Dead,,,9.0,Submitted
109605,2012-06-03 05:00:00+00:00,D9 North Rampart,354,1000-Hour,Dead,,,9.0,Submitted
109617,2012-06-03 05:00:00+00:00,D9 Lower Rampart,351,1000-Hour,Dead,,,8.0,Submitted
109651,2012-06-04 05:00:00+00:00,Miller Creek,779,1000-Hour,Dead,,,8.0,Submitted
109652,2012-06-04 05:00:00+00:00,Baker Park,52,1000-Hour,Dead,,,31.0,Submitted
109667,2012-06-04 05:00:00+00:00,Moran,796,1000-Hour,Dead,,,26.0,Submitted
82277,2010-07-08 05:00:00+00:00,Centennial TH,200,1000-Hour,Dead,,,52.0,Submitted
109677,2012-06-04 05:00:00+00:00,Flagg Ranch,451,1000-Hour,Dead,,,17.0,Submitted
109684,2012-06-04 05:00:00+00:00,Signal Peak,1095,1000-Hour,Dead,,,7.0,Submitted
109689,2012-06-04 05:00:00+00:00,Wraith Falls,1348,1000-Hour,Dead,,,31.0,Submitted
82282,2010-07-08 05:00:00+00:00,Park Mine,888,1000-Hour,Dead,,,20.0,Submitted
109704,2012-06-04 05:00:00+00:00,Mid-Gunflint Trail,769,1000-Hour,Dead,,,32.0,Submitted
109705,2012-06-04 05:00:00+00:00,Signal Mountain,1094,1000-Hour,Dead,,,24.0,Submitted
109712,2012-06-04 05:00:00+00:00,COF Cow Trap,255,1000-Hour,Dead,,,5.0,Submitted
109718,2012-06-04 05:00:00+00:00,COF Baker,253,1000-Hour,Dead,,,8.0,Submitted
109725,2012-06-04 05:00:00+00:00,Fencemaker,441,1000-Hour,Dead,,,10.0,Submitted
109735,2012-06-04 05:00:00+00:00,COF Blue Ridge,254,1000-Hour,Dead,,,6.0,Submitted
82285,2010-07-08 05:00:00+00:00,Indian Creek,614,1000-Hour,Dead,,,16.0,Submitted
109738,2012-06-04 05:00:00+00:00,ASF Little MC,42,1000-Hour,Dead,,,6.0,Submitted
109741,2012-06-04 05:00:00+00:00,ASF Little Pine,43,1000-Hour,Dead,,,6.0,Submitted
109751,2012-06-05 05:00:00+00:00,Sanborn,1035,1000-Hour,Dead,,,6.0,Submitted
109753,2012-06-05 05:00:00+00:00,Whitetail Peak,1335,1000-Hour,Dead,,,19.0,Submitted
109763,2012-06-05 05:00:00+00:00,Cedar Creek,195,1000-Hour,Dead,,,13.0,Submitted
109766,2012-06-05 05:00:00+00:00,Mule Ck GS,821,1000-Hour,Dead,,,55.0,Submitted
109780,2012-06-05 05:00:00+00:00,Lewistown Divide,696,1000-Hour,Dead,,,37.0,Submitted
109785,2012-06-05 05:00:00+00:00,Red Hill Road,982,1000-Hour,Dead,,,36.0,Submitted
109786,2012-06-05 05:00:00+00:00,Black Rock,93,1000-Hour,Dead,,,23.0,Submitted
109789,2012-06-05 05:00:00+00:00,Markleeville,752,1000-Hour,Dead,,,9.0,Submitted
109794,2012-06-05 05:00:00+00:00,Weiser River,1316,1000-Hour,Dead,,,21.0,Submitted
109797,2012-06-05 05:00:00+00:00,Skihill,1105,1000-Hour,Dead,,,27.0,Submitted
109801,2012-06-05 05:00:00+00:00,Whitegrass Ranch,1333,1000-Hour,Dead,,,27.0,Submitted
109807,2012-06-05 05:00:00+00:00,Timbered Island,1251,1000-Hour,Dead,,,21.0,Submitted
109818,2012-06-05 05:00:00+00:00,Little Washakie Park,709,1000-Hour,Dead,,,13.0,Submitted
109824,2012-06-05 05:00:00+00:00,Flaggstaff Road,452,1000-Hour,Dead,,,35.0,Submitted
109828,2012-06-05 05:00:00+00:00,Burro Hill,155,1000-Hour,Dead,,,11.0,Submitted
109830,2012-06-05 05:00:00+00:00,Huntsman,595,1000-Hour,Dead,,,9.0,Submitted
109837,2012-06-06 05:00:00+00:00,"2415, Hwy. 31 Jct.",6,1000-Hour,Dead,,,15.0,Submitted
109838,2012-06-06 05:00:00+00:00,Grass Creek,514,1000-Hour,Dead,,,12.0,Submitted
109841,2012-06-06 05:00:00+00:00,Adams,16,1000-Hour,Dead,,,12.0,Submitted
109877,2012-06-06 05:00:00+00:00,"North 6,000",847,1000-Hour,Dead,,,31.0,Submitted
109880,2012-06-06 05:00:00+00:00,Lame Johnny,686,1000-Hour,Dead,,,46.0,Submitted
109884,2012-06-06 05:00:00+00:00,"North 6,500",848,1000-Hour,Dead,,,17.0,Submitted
109887,2012-06-06 05:00:00+00:00,"North 7,000",849,1000-Hour,Dead,,,33.0,Submitted
109890,2012-06-06 05:00:00+00:00,"South 7,000",1148,1000-Hour,Dead,,,14.0,Submitted
109893,2012-06-06 05:00:00+00:00,"South 6,500",1147,1000-Hour,Dead,,,0.0,Submitted
109897,2012-06-06 05:00:00+00:00,McCook,758,1000-Hour,Dead,,,5.0,Submitted
109917,2012-06-06 05:00:00+00:00,Knowlton,668,1000-Hour,Dead,,,9.0,Submitted
109937,2012-06-06 05:00:00+00:00,"South 6,000",1146,1000-Hour,Dead,,,0.0,Submitted
109938,2012-06-07 05:00:00+00:00,Knowlton,668,1000-Hour,Dead,,,9.0,Submitted
109942,2012-06-07 05:00:00+00:00,Hams #1,533,1000-Hour,Dead,,,13.0,Submitted
109944,2012-06-07 05:00:00+00:00,Hams #2,534,1000-Hour,Dead,,,20.0,Submitted
109953,2012-06-07 05:00:00+00:00,Tally Lake North,1226,1000-Hour,Dead,,,59.0,Submitted
109984,2012-06-07 05:00:00+00:00,Nevada City,837,1000-Hour,Dead,,,28.0,Submitted
109989,2012-06-07 05:00:00+00:00,D11_Miller_Gulch,345,1000-Hour,Dead,,,11.0,Submitted
109994,2012-06-07 05:00:00+00:00,D11_Guanella_Pass,344,1000-Hour,Dead,,,17.0,Submitted
110002,2012-06-07 05:00:00+00:00,Diamond,380,1000-Hour,Dead,,,7.0,Submitted
82294,2010-07-08 05:00:00+00:00,BRDRAWS,132,1000-Hour,Dead,,,37.0,Submitted
110012,2012-06-07 05:00:00+00:00,CIF Thunderbird,213,1000-Hour,Dead,,,5.0,Submitted
110017,2012-06-07 05:00:00+00:00,ASF Greer,39,1000-Hour,Dead,,,20.0,Submitted
110023,2012-06-07 05:00:00+00:00,Split Rock,1159,1000-Hour,Dead,,,12.0,Submitted
110026,2012-06-07 05:00:00+00:00,Tally Lake South,1227,1000-Hour,Dead,,,35.0,Submitted
110031,2012-06-07 05:00:00+00:00,Hyatt High,598,1000-Hour,Dead,,,11.0,Submitted
110047,2012-06-08 05:00:00+00:00,Bruin,139,1000-Hour,Dead,,,11.0,Submitted
110048,2012-06-08 05:00:00+00:00,Sledgehammer South,1110,1000-Hour,Dead,,,9.0,Submitted
110052,2012-06-08 05:00:00+00:00,D10 - Sledgehammer North,341,1000-Hour,Dead,,,9.0,Submitted
110054,2012-06-08 05:00:00+00:00,Corral Creek,279,1000-Hour,Dead,,,17.0,Submitted
110059,2012-06-08 05:00:00+00:00,ELko,416,1000-Hour,Dead,,,43.0,Submitted
110065,2012-06-09 05:00:00+00:00,Station 60,1173,1000-Hour,Dead,,,13.0,Submitted
