Sample Id,Date-Time,Site Name,SiteId,Fuel Type,Category,Sub-Category,Method,Sample Avg Value,Sample Status
350044,2024-06-25 20:00:00+00:00,Lane Creek,1669,1000-Hour,Dead,,Gravimetric,14.0,Submitted
350045,2024-07-10 20:00:00+00:00,Lane Creek,1669,1000-Hour,Dead,,Gravimetric,12.0,Submitted
350046,2024-07-21 20:00:00+00:00,Lane Creek,1669,1000-Hour,Dead,,Gravimetric,10.0,Submitted
350047,2024-08-03 20:00:00+00:00,Lane Creek,1669,1000-Hour,Dead,,Gravimetric,9.0,Submitted
350048,2024-08-29 20:00:00+00:00,Lane Creek,1669,1000-Hour,Dead,,Gravimetric,12.0,Submitted
350049,2024-09-19 20:00:00+00:00,Lane Creek,1669,1000-Hour,Dead,,Gravimetric,11.0,Submitted
350010,2023-05-19 20:00:00+00:00,Finn,1702,1000-Hour,Dead,,,21.0,Submitted
246993,2020-05-27 05:00:00+00:00,Pike County,913,1000-Hour,Dead,,,22.0,Submitted
244370,2020-04-30 05:00:00+00:00,D9 Mt. Herman,352,1000-Hour,Dead,,,11.0,Submitted
358967,2025-05-15 17:00:00+00:00,Blue Park,111,1000-Hour,Dead,,,12.75,Submitted
301853,2022-08-15 05:00:00+00:00,Armstrong Gulch,36,1000-Hour,Dead,,,12.0,Submitted
244383,2020-04-30 05:00:00+00:00,Stevens Gulch,1178,1000-Hour,Dead,,,8.0,Submitted
244384,2020-04-30 05:00:00+00:00,Black Canyon,91,1000-Hour,Dead,,,13.0,Submitted
244389,2020-04-30 05:00:00+00:00,CNF Shake Trail,241,1000-Hour,Dead,,,8.0,Submitted
301839,2022-08-15 05:00:00+00:00,Ammon,26,1000-Hour,Dead,,,11.0,Submitted
307339,2022-10-15 05:00:00+00:00,Mad River,744,1000-Hour,Dead,,,9.0,Submitted
332059,2024-07-11 17:00:00+00:00,Elbow South,410,1000-Hour,Dead,,,11.16,Submitted
